transaction_id,transaction_date,transaction_time,order,line_item_id,product_id,quantity,line_item_amount,unit_price,promo_item_yn
1,2019-04-09,08:31:18,1,3,4,1,20.45,20.45,N
1,2019-04-27,10:05:48,7,1,5,1,15.0,15.0,N
1,2019-04-08,08:06:29,1,1,22,1,2.0,2.0,N
1,2019-04-06,16:05:09,1,1,23,2,5.0,2.5,N
1,2019-04-14,08:45:04,1,1,23,1,2.5,2.5,N
1,2019-04-21,08:45:04,1,1,23,1,2.5,2.5,N
1,2019-04-27,10:05:48,1,1,23,2,5.0,2.5,N
1,2019-04-10,09:22:57,1,1,25,1,2.2,2.2,N
1,2019-04-09,10:01:24,1,1,26,1,3.0,3.0,N
1,2019-04-09,08:14:07,1,1,29,2,5.0,2.5,N
1,2019-04-14,08:48:52,1,1,29,1,2.5,2.5,N
1,2019-04-14,09:55:15,1,1,30,1,3.0,3.0,N
1,2019-04-07,07:08:39,1,1,31,2,4.4,2.2,N
1,2019-04-08,10:54:37,1,1,31,2,4.4,2.2,N
1,2019-04-11,10:12:12,1,1,31,2,4.4,2.2,N
1,2019-04-12,10:34:25,1,1,31,2,4.4,2.2,N
1,2019-04-16,07:55:22,1,1,32,1,3.0,3.0,N
1,2019-04-09,08:31:18,1,2,33,2,7.0,3.5,N
1,2019-04-09,08:31:18,1,1,34,1,2.45,2.45,N
1,2019-04-08,08:33:55,1,1,35,1,3.1,3.1,N
1,2019-04-11,08:54,1,1,35,2,6.2,3.1,N
1,2019-04-13,10:00:38,1,1,37,2,6.0,3.0,N
1,2019-04-20,10:44:51,1,1,37,2,6.0,3.0,N
1,2019-04-23,06:47:13,1,1,38,1,3.75,3.75,N
1,2019-04-15,09:33:22,1,1,42,1,2.5,2.5,N
1,2019-04-29,10:02:13,1,1,42,2,5.0,2.5,N
1,2019-04-10,09:21:40,1,1,43,1,3.0,3.0,N
1,2019-04-03,13:26:51,1,1,44,1,2.5,2.5,N
1,2019-04-11,06:23:18,1,1,44,1,2.5,2.5,N
1,2019-04-07,10:16:40,1,1,45,1,3.0,3.0,N
