transaction_id,transaction_date,transaction_time,sales_outlet_id,staff_id,customer_id,instore_yn
1,2019-04-08,08:33:55,3,6,15,N
1,2019-04-20,10:54:46,3,9,120,Y
1,2019-04-14,08:45:04,3,16,130,N
1,2019-04-21,08:45:04,3,16,130,N
1,2019-04-10,10:18:16,3,20,160,N
1,2019-04-05,17:27:40,3,17,169,N
1,2019-04-06,16:05:09,3,12,173,N
1,2019-04-11,10:12:12,3,19,381,Y
1,2019-04-12,10:13:54,3,18,490,Y
1,2019-04-07,10:16:40,3,20,608,N
1,2019-04-09,08:31:18,3,9,648,N
1,2019-04-13,10:00:38,3,16,682,Y
1,2019-04-03,15:55:36,5,12,5250,Y
1,2019-04-07,07:08:39,5,29,5315,Y
1,2019-04-08,10:54:37,5,28,5389,N
1,2019-04-09,08:14:07,5,25,5620,Y
1,2019-04-15,09:33:22,5,26,5635,N
1,2019-04-10,09:22:57,5,26,5673,Y
1,2019-04-28,07:41:44,5,30,5821,Y
1,2019-04-13,07:28:25,5,30,5867,N
1,2019-04-27,10:05:48,8,42,8212,Y
1,2019-04-26,06:45:16,8,44,8219,N
1,2019-04-16,07:55:22,8,42,8292,N
1,2019-04-13,08:05:12,8,45,8294,N
1,2019-04-03,13:26:51,8,42,8349,N
2,2019-04-11,07:18:01,3,18,7,Y
2,2019-04-09,09:30:01,3,8,14,N
2,2019-04-13,08:40:48,3,20,138,N
2,2019-04-08,10:42:48,3,7,158,N
2,2019-04-10,08:32:04,3,18,172,N
2,2019-04-03,18:51:56,3,12,235,Y
2,2019-04-07,09:48:22,3,20,312,Y
2,2019-04-12,08:31:28,3,18,325,N
2,2019-04-06,15:30:41,3,17,653,Y
2,2019-04-14,09:25:47,3,16,764,Y
2,2019-04-21,09:25:47,3,16,764,Y
2,2019-04-28,16:20:46,5,30,5064,Y
2,2019-04-11,09:00:34,5,28,5108,Y
2,2019-04-01,15:25:09,5,30,5288,N
2,2019-04-08,09:36:28,5,28,5322,N
2,2019-04-21,10:58:42,5,30,5343,N
2,2019-04-13,10:12:20,5,30,5819,N
2,2019-04-07,10:04:24,5,14,5834,N
2,2019-04-10,08:50:06,8,42,8007,N
2,2019-04-11,09:57:08,8,42,8271,N
2,2019-04-21,10:12:59,8,45,8387,Y
2,2019-04-29,12:53:18,8,15,8420,N
2,2019-04-01,09:05:11,8,42,8434,Y
2,2019-04-12,06:42:12,8,44,8441,Y
3,2019-04-13,07:59:31,3,16,111,Y
3,2019-04-10,10:22:41,3,18,179,N
3,2019-04-07,17:11:59,3,16,246,Y
3,2019-04-05,17:16:50,3,17,280,N
3,2019-04-12,09:11:54,3,18,280,N
3,2019-04-08,10:46:05,3,9,597,Y
3,2019-04-06,18:31:14,3,12,610,Y
3,2019-04-28,12:59:15,3,14,727,Y
3,2019-04-11,07:33:46,3,18,766,Y
3,2019-04-09,09:50:15,5,28,5166,Y
3,2019-04-15,07:21:29,5,12,5279,Y
3,2019-04-08,08:31:13,5,26,5684,N
3,2019-04-11,10:55:32,5,28,5696,Y
3,2019-04-07,08:57:59,5,29,5797,Y
3,2019-04-03,16:43:22,5,30,5809,Y
3,2019-04-29,16:33:19,5,26,5931,Y
3,2019-04-04,18:48:10,8,42,8031,N
3,2019-04-11,10:29:56,8,41,8048,Y
3,2019-04-25,08:38:09,8,6,8069,Y
3,2019-04-13,10:53:41,8,42,8225,Y
3,2019-04-12,09:05:01,8,44,8310,Y
3,2019-04-21,09:17:26,8,45,8311,Y
3,2019-04-27,10:01:49,8,42,8341,Y
4,2019-04-09,08:18:49,3,8,31,Y
4,2019-04-10,08:52:33,3,18,92,N
4,2019-04-13,10:53:55,3,14,175,Y
4,2019-04-03,17:49:43,3,12,246,Y
4,2019-04-20,10:07:05,3,16,378,N
4,2019-04-07,11:02:23,3,14,551,N
4,2019-04-08,07:22:14,3,7,605,Y
4,2019-04-06,14:13:48,3,17,638,Y
4,2019-04-12,07:07:25,3,19,753,Y
4,2019-04-10,10:24:17,5,28,5125,N
4,2019-04-05,15:01:55,5,12,5360,N
4,2019-04-13,08:46:30,5,30,5546,Y
4,2019-04-09,08:02:30,5,28,5796,N
4,2019-04-21,07:00:14,5,30,5883,N
4,2019-04-29,09:09:32,5,26,5916,Y
4,2019-04-12,10:44:55,5,26,5932,N
4,2019-04-03,10:06:47,8,15,8002,Y
4,2019-04-13,08:01:47,8,15,8013,Y
4,2019-04-29,09:29:41,8,45,8308,N
4,2019-04-24,10:05:39,8,44,8365,N
4,2019-04-11,07:05:20,8,42,8438,Y
4,2019-04-10,06:38:38,8,42,8465,N
4,2019-04-12,10:14:58,8,44,8468,Y
5,2019-04-03,18:14:16,3,17,56,N
5,2019-04-10,10:04:11,3,20,89,N
5,2019-04-18,10:26:56,3,20,112,Y
5,2019-04-06,12:45:25,3,17,213,N
5,2019-04-20,09:30:49,3,12,353,Y
5,2019-04-13,07:41:03,3,14,407,N
5,2019-04-11,09:24:14,3,20,437,Y
5,2019-04-08,08:10:25,3,7,544,Y
5,2019-04-09,08:08:13,3,8,659,Y
5,2019-04-07,15:57:16,3,16,695,Y
5,2019-04-11,07:16,5,26,5017,Y
5,2019-04-13,10:45:36,5,30,5062,Y
5,2019-04-28,12:14:10,5,30,5068,N
5,2019-04-02,08:30:52,5,12,5233,Y
5,2019-04-08,07:53:28,5,28,5360,N
5,2019-04-27,08:22:25,5,12,5399,N
5,2019-04-10,07:56:44,5,26,5885,Y
5,2019-04-14,10:35:27,8,45,8025,Y
5,2019-04-11,07:21:20,8,41,8075,N
5,2019-04-12,06:35:32,8,6,8434,N
5,2019-04-01,10:38:16,8,45,8448,Y
6,2019-04-09,10:52,3,7,37,Y
6,2019-04-14,10:57:34,3,16,136,N
6,2019-04-21,10:57:34,3,16,136,N
6,2019-04-06,17:57:26,3,12,168,Y
6,2019-04-05,12:35:25,3,17,319,N
6,2019-04-07,07:30:22,3,16,374,N
6,2019-04-11,10:54:04,3,20,718,N
6,2019-04-10,09:45:52,3,20,769,N
6,2019-04-05,18:05:39,5,12,5282,N
6,2019-04-11,06:46:30,5,30,5320,Y
6,2019-04-29,15:56:15,5,12,5538,N
